geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
4;17:42:29.867;42486.737846;0.011295111111111112;-0.09323366666666666;-0.006803333333333332;0.07046985
4;17:42:29.973;42486.737847;0.012766666666666667;-0.08714088888888888;-0.0018657777777777778;0.050388493
4;17:42:30.074;42486.737848;0.014895555555555554;-0.08529544444444442;0.002806333333333334;0.19523318
4;17:42:30.175;42486.737849;0.010523444444444443;-0.06962144444444443;-0.003345222222222222;0.07405403
4;17:42:30.280;42486.73785;0.005357222222222221;-0.07299555555555554;-0.0006123333333333335;0.123971775
4;17:42:30.384;42486.737852;-0.001970222222222222;-0.07616244444444445;0.006892;0.08952094
4;17:42:30.488;42486.737853;0.0005365555555555567;-0.08201722222222224;0.008413666666666667;0.07056203
4;17:42:30.593;42486.737854;-0.0032324444444444453;-0.07028044444444445;-0.002683111111111111;0.04523273
4;17:42:30.695;42486.737855;-0.001213555555555556;-0.07899366666666668;0.0018362222222222222;0.09279008
4;17:42:30.800;42486.737856;-0.005107666666666667;-0.07830888888888889;0.002164222222222222;0.08067837
4;17:42:30.907;42486.737858;-0.010747444444444447;-0.0812188888888889;0.005645666666666666;0.085895285
4;17:42:31.010;42486.737859;-0.011830444444444446;-0.08418655555555557;0.005382333333333333;0.065261014
4;17:42:31.111;42486.73786;-0.007484;-0.1010528888888889;0.017105777777777775;0.13845578
4;17:42:31.212;42486.737861;-0.00984522222222222;-0.09334166666666668;0.010236777777777777;0.11787281
4;17:42:31.320;42486.737862;-0.006930888888888889;-0.0918778888888889;0.010727333333333332;0.11545562
4;17:42:31.422;42486.737864;-0.002975222222222222;-0.08779633333333334;0.008142444444444445;0.09650389
4;17:42:31.526;42486.737865;0.0029055555555555558;-0.08987222222222224;0.009274;0.16223748
4;17:42:31.627;42486.737866;0.003542222222222222;-0.08468044444444447;0.006935777777777777;0.042497057
4;17:42:31.730;42486.737867;0.007079;-0.08356722222222222;0.00802111111111111;0.06636264
4;17:42:31.838;42486.737868;0.01220077777777778;-0.08372466666666668;0.009874333333333334;0.055982135
4;17:42:31.943;42486.73787;0.012946777777777778;-0.08198266666666669;0.007567333333333332;0.08834591
4;17:42:32.050;42486.737871;0.013480777777777777;-0.07424433333333331;0.0026451111111111107;0.097411506
4;17:42:32.152;42486.737872;0.014819000000000002;-0.06928088888888889;0.0034652222222222224;0.10859558
4;17:42:32.254;42486.737873;0.01370511111111111;-0.07346088888888888;0.0049896666666666666;0.12291867
4;17:42:32.355;42486.737874;0.011353333333333333;-0.07527822222222222;0.004200111111111111;0.08591274
4;17:42:32.460;42486.737876;0.014570222222222219;-0.0844041111111111;0.001223;0.081074044
4;17:42:32.561;42486.737877;0.015324;-0.09119722222222222;0.0036525555555555547;0.037054013
4;17:42:32.662;42486.737878;0.016899222222222225;-0.09360233333333333;0.00008755555555555522;0.10652699
4;17:42:32.763;42486.737879;0.018112444444444445;-0.09298222222222223;-0.0012941111111111115;0.069857
4;17:42:32.864;42486.73788;0.026608222222222224;-0.09145877777777778;0.0028553333333333326;0.17589486
4;17:42:32.966;42486.737882;0.030733111111111114;-0.0874088888888889;-0.004616666666666667;0.15489675
4;17:42:33.070;42486.737883;0.03805477777777778;-0.0973161111111111;-0.003902333333333334;0.13234048
4;17:42:33.172;42486.737884;0.04756855555555555;-0.09872666666666667;-0.0016766666666666657;0.11674759
4;17:42:33.276;42486.737885;0.05798877777777778;-0.1039491111111111;0.0000720000000000005;0.108046286
4;17:42:33.378;42486.737886;0.05764166666666667;-0.09754966666666666;0.009688666666666667;0.072111025
4;17:42:33.486;42486.737888;0.06125788888888888;-0.09074922222222222;0.014521555555555557;0.087
4;17:42:33.590;42486.737889;0.061274777777777775;-0.08465755555555557;0.03117311111111111;0.14780392
4;17:42:33.693;42486.73789;0.05939555555555556;-0.08086577777777777;0.042724000000000005;0.14561594
4;17:42:33.794;42486.737891;0.05825122222222222;-0.07949522222222222;0.06334955555555556;0.13928747
4;17:42:33.934;42486.737893;0.055174222222222215;-0.07973033333333333;0.08376455555555556;0.11836384
4;17:42:34.037;42486.737894;0.04823477777777778;-0.08257811111111112;0.11176744444444446;0.15495484
4;17:42:34.138;42486.737895;0.03804977777777777;-0.08858022222222223;0.15374166666666667;0.15504839
4;17:42:34.243;42486.737896;0.022231555555555556;-0.08683011111111111;0.1973398888888889;0.21470676
4;17:42:34.344;42486.737898;0.008816444444444441;-0.0846588888888889;0.23038855555555557;0.15357733
4;17:42:34.448;42486.737899;0.0007528888888888877;-0.08208544444444445;0.2674142222222222;0.25002
4;17:42:34.550;42486.7379;-0.0006971111111111102;-0.07845666666666667;0.2926804444444444;0.47296828
4;17:42:34.657;42486.737901;-0.002493222222222221;-0.07252566666666667;0.30978555555555554;0.39534923
4;17:42:34.762;42486.737902;-0.008664333333333333;-0.07027855555555557;0.3389088888888889;0.38064814
4;17:42:34.865;42486.737904;-0.01290711111111111;-0.06544244444444446;0.3650078888888889;0.3787268
4;17:42:34.968;42486.737905;-0.021097;-0.05801922222222222;0.39342144444444443;0.36344048
4;17:42:35.069;42486.737906;-0.031828444444444444;-0.03874922222222222;0.39722955555555556;0.29045138
4;17:42:35.170;42486.737907;-0.027775222222222215;-0.03735366666666666;0.4126997777777778;0.45774227
4;17:42:35.271;42486.737908;-0.00896722222222222;-0.03732833333333333;0.428359;0.38203403
4;17:42:35.372;42486.737909;0.011957111111111111;-0.037139000000000005;0.4460305555555555;0.49626404
4;17:42:35.477;42486.737911;0.023086000000000002;-0.034876111111111115;0.4590068888888889;0.4914326
4;17:42:35.578;42486.737912;0.022789666666666666;-0.04202222222222222;0.492987;0.526457
4;17:42:35.683;42486.737913;0.011014111111111112;-0.04760866666666667;0.49902922222222224;0.5251914
4;17:42:35.784;42486.737914;0.001688999999999999;-0.05642622222222223;0.5187023333333334;0.5657208
4;17:42:35.885;42486.737915;0.009580111111111114;-0.06309888888888888;0.5248795555555555;0.4919319
4;17:42:35.990;42486.737917;0.03552188888888889;-0.07816933333333333;0.5261433333333334;0.6013951
4;17:42:36.093;42486.737918;0.05608144444444444;-0.08353266666666667;0.5219085555555556;0.5247104
4;17:42:36.197;42486.737919;0.05691333333333334;-0.08096122222222224;0.5089159999999999;0.57275563
4;17:42:36.298;42486.73792;0.03568400000000001;-0.077767;0.4984368888888889;0.55121416
4;17:42:36.403;42486.737921;0.01845877777777778;-0.07836255555555556;0.4897731111111111;0.5195181
4;17:42:36.504;42486.737923;0.015016999999999996;-0.074685;0.47040600000000005;0.52810985
4;17:42:36.606;42486.737924;0.01999988888888889;-0.0716741111111111;0.46098744444444445;0.41139397
4;17:42:36.712;42486.737925;0.030780777777777782;-0.07258533333333334;0.43957599999999997;0.43906605
4;17:42:36.816;42486.737926;0.028541111111111114;-0.07377088888888889;0.4120769999999999;0.40232697
4;17:42:36.935;42486.737927;0.017173111111111108;-0.06862599999999999;0.39001844444444445;0.42533398
4;17:42:37.042;42486.737929;0.005662222222222221;-0.059936333333333335;0.36469844444444444;0.43163177
4;17:42:37.144;42486.73793;-0.005903777777777781;-0.05798977777777778;0.34621300000000005;0.37552765
4;17:42:37.245;42486.737931;-0.0032723333333333354;-0.06309233333333333;0.3228058888888889;0.31287858
4;17:42:37.349;42486.737932;0.0001714444444444438;-0.064353;0.2951884444444445;0.30200332
4;17:42:37.451;42486.737933;0.0028779999999999986;-0.06171133333333334;0.2651632222222222;0.2681977
4;17:42:37.552;42486.737935;0.013664777777777776;-0.06057711111111111;0.23127211111111107;0.22820166
4;17:42:37.657;42486.737936;0.021182333333333334;-0.061733444444444445;0.20644755555555555;0.24168988
4;17:42:37.759;42486.737937;0.025457999999999998;-0.06120066666666667;0.18665566666666666;0.1557209
4;17:42:37.860;42486.737938;0.018443666666666667;-0.055743;0.16651411111111114;0.15344706
4;17:42:37.965;42486.737939;0.0012745555555555566;-0.04859188888888889;0.151565;0.14062005
4;17:42:38.148;42486.737942;0.0019893333333333334;-0.058481555555555564;0.1567971111111111;0.18253218
4;17:42:38.249;42486.737943;0.001638444444444446;-0.05890666666666666;0.13752566666666668;0.14855301
4;17:42:38.352;42486.737944;0.0018005555555555561;-0.06401733333333333;0.11831755555555556;0.121959016
4;17:42:38.455;42486.737945;0.004709000000000002;-0.07958222222222222;0.11514666666666666;0.14724469
4;17:42:38.558;42486.737946;0.004986777777777779;-0.08760422222222222;0.1135511111111111;0.3024781
4;17:42:38.659;42486.737947;-0.00026844444444444306;-0.08359988888888889;0.10264744444444444;0.101926446
4;17:42:38.763;42486.737949;0.00012066666666666823;-0.081206;0.09530688888888889;0.086011626
4;17:42:38.864;42486.73795;-0.004231444444444444;-0.08370755555555555;0.09986088888888889;0.20747289
4;17:42:38.966;42486.737951;0.010378777777777778;-0.09210522222222221;0.09475;0.16975571
4;17:42:39.067;42486.737952;0.01391988888888889;-0.08766022222222221;0.07444255555555555;0.075193085
4;17:42:39.190;42486.737954;0.015292;-0.08262066666666666;0.06892011111111111;0.08614523
4;17:42:39.297;42486.737955;0.01340788888888889;-0.08550822222222222;0.07873822222222222;0.17994165
4;17:42:39.399;42486.737956;0.002717000000000002;-0.07731344444444445;0.06982955555555555;0.107577875
4;17:42:39.500;42486.737957;-0.01009522222222222;-0.07662077777777777;0.05873855555555555;0.13809055
4;17:42:39.601;42486.737958;-0.012427666666666665;-0.08749088888888888;0.06992411111111112;0.047212288
4;17:42:39.703;42486.73796;-0.01378588888888889;-0.09399222222222223;0.072453;0.1297883
4;17:42:39.805;42486.737961;0.002499555555555555;-0.08949222222222224;0.05710588888888889;0.12665306
4;17:42:39.908;42486.737962;-0.00048166666666666497;-0.08944866666666668;0.047029;0.12736562
4;17:42:40.016;42486.737963;-0.012406444444444449;-0.09358744444444445;0.05260711111111111;0.21322757
4;17:42:40.134;42486.737965;-0.02082088888888889;-0.09934800000000002;0.046600888888888886;0.14611639
4;17:42:40.235;42486.737966;-0.020116111111111116;-0.10988477777777779;0.05550977777777777;0.065253355
4;17:42:40.338;42486.737967;-0.005549444444444445;-0.11422133333333336;0.06116288888888889;0.068775
4;17:42:40.440;42486.737968;0.0037456666666666662;-0.10507333333333332;0.061519000000000004;0.19894974
