geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;16:30:51.394;42029.68809483796;30.3370089;60.076812;47;gps;10;135.1;5.836;694.678
geo;16:30:52.416;42029.68810666667;30.3370764;60.0768214;47;gps;10;109.5;4.61;699.389
geo;16:30:53.410;42029.688118171296;30.3371316;60.0767891;46;gps;12;111.9;4.61;703.972
geo;16:30:54.390;42029.68812951389;30.3372322;60.0767665;45;gps;11;116.3;5.836;709.691
geo;16:30:55.421;42029.688141446764;30.3373373;60.0767144;45;gps;11;115.6;7.071;716.981
geo;16:30:56.404;42029.68815282408;30.3375027;60.0766699;46;gps;10;112.9;8.807;725.639
geo;16:30:57.423;42029.688164618055;30.33768;60.0766447;46;gps;10;112.4;10.05;735.879
geo;16:30:58.433;42029.68817630787;30.3378524;60.0766237;46;gps;9;112.4;10.548;746.533
geo;16:30:59.387;42029.68818734954;30.3380274;60.0765817;47;gps;10;113.2;10.796;756.832
geo;16:31:00.420;42029.68819930556;30.3382019;60.0765379;48;gps;10;118.1;11.045;768.242
geo;16:31:01.406;42029.68821071759;30.3383745;60.0765213;49;gps;9;113.7;10.548;778.642
geo;16:31:02.399;42029.68822221065;30.33858;60.076508;47;gps;9;108.9;10.299;788.869
geo;16:31:03.392;42029.6882337037;30.3387389;60.0764817;47;gps;7;110.8;9.801;798.602
geo;16:31:04.414;42029.68824553241;30.3388835;60.0764464;49;gps;7;111.6;9.304;808.11
geo;16:31:05.413;42029.68825709491;30.3390379;60.0764108;49;gps;7;112.4;9.552;817.653
geo;16:31:06.406;42029.68826858797;30.3392061;60.076371;48;gps;6;112.3;9.801;827.385
geo;16:31:07.431;42029.68828045139;30.3393533;60.0763483;48;gps;8;110.4;9.304;836.922
geo;16:31:08.412;42029.688291805556;30.3395104;60.0763115;50;gps;7;111.5;9.801;846.536
geo;16:31:09.415;42029.688303414354;30.3396633;60.0762905;50;gps;6;109.8;9.801;856.367
geo;16:31:10.430;42029.68831516204;30.3398318;60.0762467;50;gps;6;112.1;9.801;866.315
geo;16:31:11.415;42029.6883265625;30.3399729;60.0762095;49;gps;7;113.1;9.304;875.479
geo;16:31:12.403;42029.688337997686;30.3401272;60.076181;50;gps;6;110.5;9.055;884.426
geo;16:31:13.428;42029.68834986111;30.3402701;60.076155;48;gps;6;103.9;8.31;892.943
geo;16:31:14.393;42029.688361030094;30.3404078;60.0761472;48;gps;5;91.8;8.062;900.723
geo;16:31:15.428;42029.68837300926;30.3405475;60.076147;48;gps;4;88.3;8.062;909.067
geo;16:31:16.414;42029.6883844213;30.3406711;60.0761421;49;gps;4;93.1;7.319;916.284
geo;16:31:17.399;42029.68839582176;30.3407927;60.0761242;49;gps;4;101;7.319;923.493
geo;16:31:18.423;42029.68840767361;30.3409269;60.0761002;49;gps;4;106.5;7.814;931.495
geo;16:31:19.408;42029.688419074075;30.3410661;60.0760786;48;gps;4;107.7;8.31;939.68
geo;16:31:20.403;42029.68843059028;30.3412036;60.0760524;48;gps;4;109.2;8.559;948.196
geo;16:31:21.434;42029.68844252315;30.3413399;60.0760262;48;gps;4;111.1;8.062;956.508
geo;16:31:22.405;42029.68845376157;30.3414417;60.0760031;49;gps;4;113.3;6.576;962.894
geo;16:31:23.416;42029.68846546296;30.341513;60.07599;48;gps;3;110.4;4.366;967.308
geo;16:31:24.421;42029.68847709491;30.3415535;60.0759822;48;gps;4;101.1;2.462;969.782
